"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-28",,,"56","33","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-29",,,"61","35","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-30","0.32",,"56","45","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-31",,,"53","45","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-01",,,"66","35","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-02",,,"77","58","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-03","0.00",,"73","65","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-04",,,"71","56","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-05",,,"65","44","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-06",,,"71","41","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-07",,,"71","43","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-08",,,"70","50","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-09","0.00",,"74","56","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-04-10","0.15",,"70","50","64"
